Virtual User Script started at: 16-Oct-25 2:53:07 PM	[MsgId: MMSG-15967]
Starting action vuser_init.	[MsgId: MMSG-15919]
Web Turbo Replay of LoadRunner 2022.0.0 for Windows 2019; build 605 (Mar 08 2022 19:29:30)  	[MsgId: MMSG-26983]
Run mode: HTML  	[MsgId: MMSG-26993]
Replay user agent: Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0)  	[MsgId: MMSG-26988]
Runtime Settings file: "C:\Users\Administrator\AppData\Local\Temp\3\lr5tmpdir1xL.64\lrcfgzvK.65\cfgKzE.74"  	[MsgId: MMSG-27141]
vuser_init.c(3): Script Started	[MsgId: MMSG-17999]
vuser_init.c(4): web_cleanup_cookies started  	[MsgId: MMSG-26355]
vuser_init.c(4): web_cleanup_cookies was successful  	[MsgId: MMSG-26392]
vuser_init.c(5): web_cache_cleanup started  	[MsgId: MMSG-26355]
vuser_init.c(5): web_cache_cleanup was successful  	[MsgId: MMSG-26392]
vuser_init.c(6): web_cleanup_auto_headers started  	[MsgId: MMSG-26355]
vuser_init.c(6): web_cleanup_auto_headers was successful  	[MsgId: MMSG-26392]
vuser_init.c(7): web_set_sockets_option started  	[MsgId: MMSG-26355]
vuser_init.c(7): web_set_sockets_option was successful  	[MsgId: MMSG-26392]
vuser_init.c(9): Notify: Transaction "PetStore_LaunchPetStore_T01" started.	[MsgId: MMSG-16999]
vuser_init.c(11): web_reg_find started  	[MsgId: MMSG-26355]
vuser_init.c(11): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
vuser_init.c(13): web_url("petstore.octoperf.com") started  	[MsgId: MMSG-26355]
vuser_init.c(13): Found resource "https://petstore.octoperf.com/css/jpetstore.css" in HTML "https://petstore.octoperf.com/"  	[MsgId: MMSG-26659]
vuser_init.c(13): Registered web_reg_find successful for "Text=Welcome to JPetStore 6" (count=1)  	[MsgId: MMSG-26364]
vuser_init.c(13): web_url("petstore.octoperf.com") was successful, 7129 body bytes, 567 header bytes  	[MsgId: MMSG-26386]
vuser_init.c(21): Notify: Transaction "PetStore_LaunchPetStore_T01" ended with a "Pass" status (Duration: 0.8118 Wasted Time: 0.0019).	[MsgId: MMSG-16871]
vuser_init.c(23): lr_think_time: 2.69 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
vuser_init.c(25): Notify: Transaction "PetStore_EnterToPetStore_T02" started.	[MsgId: MMSG-16999]
vuser_init.c(26): web_reg_find started  	[MsgId: MMSG-26355]
vuser_init.c(26): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
vuser_init.c(29): web_url("Catalog.action") started  	[MsgId: MMSG-26355]
vuser_init.c(29): Resource "https://petstore.octoperf.com/css/jpetstore.css" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
vuser_init.c(29): Found resource "https://petstore.octoperf.com/images/logo-topbar.svg" in HTML "https://petstore.octoperf.com/actions/Catalog.action"  	[MsgId: MMSG-26659]
vuser_init.c(29): Found resource "https://petstore.octoperf.com/images/cart.gif" in HTML "https://petstore.octoperf.com/actions/Catalog.action"  	[MsgId: MMSG-26659]
vuser_init.c(29): Found resource "https://petstore.octoperf.com/images/separator.gif" in HTML "https://petstore.octoperf.com/actions/Catalog.action"  	[MsgId: MMSG-26659]
vuser_init.c(29): Found resource "https://petstore.octoperf.com/images/sm_fish.gif" in HTML "https://petstore.octoperf.com/actions/Catalog.action"  	[MsgId: MMSG-26659]
vuser_init.c(29): Found resource "https://petstore.octoperf.com/images/sm_dogs.gif" in HTML "https://petstore.octoperf.com/actions/Catalog.action"  	[MsgId: MMSG-26659]
vuser_init.c(29): Found resource "https://petstore.octoperf.com/images/sm_reptiles.gif" in HTML "https://petstore.octoperf.com/actions/Catalog.action"  	[MsgId: MMSG-26659]
vuser_init.c(29): Found resource "https://petstore.octoperf.com/images/sm_cats.gif" in HTML "https://petstore.octoperf.com/actions/Catalog.action"  	[MsgId: MMSG-26659]
vuser_init.c(29): Found resource "https://petstore.octoperf.com/images/sm_birds.gif" in HTML "https://petstore.octoperf.com/actions/Catalog.action"  	[MsgId: MMSG-26659]
vuser_init.c(29): Found resource "https://petstore.octoperf.com/images/fish_icon.gif" in HTML "https://petstore.octoperf.com/actions/Catalog.action"  	[MsgId: MMSG-26659]
vuser_init.c(29): Found resource "https://petstore.octoperf.com/images/dogs_icon.gif" in HTML "https://petstore.octoperf.com/actions/Catalog.action"  	[MsgId: MMSG-26659]
vuser_init.c(29): Found resource "https://petstore.octoperf.com/images/cats_icon.gif" in HTML "https://petstore.octoperf.com/actions/Catalog.action"  	[MsgId: MMSG-26659]
vuser_init.c(29): Found resource "https://petstore.octoperf.com/images/reptiles_icon.gif" in HTML "https://petstore.octoperf.com/actions/Catalog.action"  	[MsgId: MMSG-26659]
vuser_init.c(29): Found resource "https://petstore.octoperf.com/images/birds_icon.gif" in HTML "https://petstore.octoperf.com/actions/Catalog.action"  	[MsgId: MMSG-26659]
vuser_init.c(29): Found resource "https://petstore.octoperf.com/images/splash.gif" in HTML "https://petstore.octoperf.com/actions/Catalog.action"  	[MsgId: MMSG-26659]
vuser_init.c(29): Registered web_reg_find successful for "Text=OctoPerf" (count=1)  	[MsgId: MMSG-26364]
vuser_init.c(29): web_url("Catalog.action") was successful, 63413 body bytes, 4260 header bytes  	[MsgId: MMSG-26386]
vuser_init.c(37): Notify: Transaction "PetStore_EnterToPetStore_T02" ended with a "Pass" status (Duration: 0.5007 Wasted Time: 0.0001).	[MsgId: MMSG-16871]
vuser_init.c(39): lr_think_time: 4.02 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
vuser_init.c(41): Notify: Transaction "PetStore_ClickOnSignIn_T03" started.	[MsgId: MMSG-16999]
vuser_init.c(43): web_reg_find started  	[MsgId: MMSG-26355]
vuser_init.c(43): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
vuser_init.c(46): web_link("Sign In") started  	[MsgId: MMSG-26355]
vuser_init.c(46): Linking to "https://petstore.octoperf.com/actions/Account.action;jsessionid=EBAB97E54116FA3314B713B31C2ECC08?signonForm=", Target Frame=""  	[MsgId: MMSG-27994]
vuser_init.c(46): Resource "https://petstore.octoperf.com/css/jpetstore.css" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
vuser_init.c(46): Resource "https://petstore.octoperf.com/images/logo-topbar.svg" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
vuser_init.c(46): Resource "https://petstore.octoperf.com/images/cart.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
vuser_init.c(46): Resource "https://petstore.octoperf.com/images/separator.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
vuser_init.c(46): Resource "https://petstore.octoperf.com/images/sm_fish.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
vuser_init.c(46): Resource "https://petstore.octoperf.com/images/sm_dogs.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
vuser_init.c(46): Resource "https://petstore.octoperf.com/images/sm_reptiles.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
vuser_init.c(46): Resource "https://petstore.octoperf.com/images/sm_cats.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
vuser_init.c(46): Resource "https://petstore.octoperf.com/images/sm_birds.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
vuser_init.c(46): Registered web_reg_find successful for "Text=Please enter your username and password" (count=1)  	[MsgId: MMSG-26364]
vuser_init.c(46): web_link("Sign In") was successful, 3856 body bytes, 225 header bytes  	[MsgId: MMSG-26386]
vuser_init.c(51): Notify: Transaction "PetStore_ClickOnSignIn_T03" ended with a "Pass" status (Duration: 0.1272 Wasted Time: 0.0000).	[MsgId: MMSG-16871]
Ending action vuser_init.	[MsgId: MMSG-15918]
Running Vuser...	[MsgId: MMSG-15964]
Starting iteration 1.	[MsgId: MMSG-15968]
Warning -27077: The "vuser_init" section contains web function(s) when the "Simulate a new user on each iteration" Runtime Setting is ON.  This may produce unpredictable results with multiple iterations  	[MsgId: MWAR-27077]
Maximum number of concurrent connections per server: 6  	[MsgId: MMSG-26989]
Starting action Login.	[MsgId: MMSG-15919]
Registration.c(15): Notify: Transaction "PetStore_ClickOnRegistration_T01" started.	[MsgId: MMSG-16999]
Registration.c(17): web_reg_find started  	[MsgId: MMSG-26355]
Registration.c(17): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Registration.c(20): web_link("Register Now!") started  	[MsgId: MMSG-26355]
Registration.c(20): Linking to "https://petstore.octoperf.com/actions/Account.action?newAccountForm=", Target Frame=""  	[MsgId: MMSG-27994]
Registration.c(20): Resource "https://petstore.octoperf.com/css/jpetstore.css" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Registration.c(20): Resource "https://petstore.octoperf.com/images/logo-topbar.svg" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Registration.c(20): Resource "https://petstore.octoperf.com/images/cart.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Registration.c(20): Resource "https://petstore.octoperf.com/images/separator.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Registration.c(20): Resource "https://petstore.octoperf.com/images/sm_fish.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Registration.c(20): Resource "https://petstore.octoperf.com/images/sm_dogs.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Registration.c(20): Resource "https://petstore.octoperf.com/images/sm_reptiles.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Registration.c(20): Resource "https://petstore.octoperf.com/images/sm_cats.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Registration.c(20): Resource "https://petstore.octoperf.com/images/sm_birds.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Registration.c(20): Registered web_reg_find successful for "Text=User Information" (count=1)  	[MsgId: MMSG-26364]
Registration.c(20): web_link("Register Now!") was successful, 5823 body bytes, 225 header bytes  	[MsgId: MMSG-26386]
Registration.c(25): Notify: Transaction "PetStore_ClickOnRegistration_T01" ended with a "Pass" status (Duration: 0.1290 Wasted Time: 0.0000).	[MsgId: MMSG-16871]
Registration.c(27): lr_think_time: 4.37 seconds (recorded think time was 5.00 seconds).	[MsgId: MMSG-15947]
Registration.c(29): Notify: Transaction "PetStore_SubmitRegistration_T02" started.	[MsgId: MMSG-16999]
Registration.c(31): web_reg_find started  	[MsgId: MMSG-26355]
Registration.c(31): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Registration.c(38): Notify: Saving Parameter "randomUsername = EKZR".	[MsgId: MMSG-13798]
Registration.c(44): Notify: Saving Parameter "randompass = sdsq".	[MsgId: MMSG-13798]
Registration.c(58): Notify: Saving Parameter "randomFirstName = gasnr".	[MsgId: MMSG-13798]
Registration.c(59): Notify: Saving Parameter "randomLastName = pwygz".	[MsgId: MMSG-13798]
Registration.c(71): Notify: Saving Parameter "RandomPhone = 9062326620".	[MsgId: MMSG-13798]
Registration.c(80): Notify: Saving Parameter "RandomZip = 673864".	[MsgId: MMSG-13798]
Registration.c(83): web_submit_form("Account.action") started  	[MsgId: MMSG-26355]
Registration.c(83): Notify: Parameter Substitution: parameter "randomUsername" =  "EKZR"	[MsgId: MMSG-13992]
Registration.c(83): Notify: Parameter Substitution: parameter "randompass" =  "sdsq"	[MsgId: MMSG-13992]
Registration.c(83): Notify: Parameter Substitution: parameter "randompass" =  "sdsq"	[MsgId: MMSG-13992]
Registration.c(83): Notify: Parameter Substitution: parameter "randomFirstName" =  "gasnr"	[MsgId: MMSG-13992]
Registration.c(83): Notify: Parameter Substitution: parameter "randomLastName" =  "pwygz"	[MsgId: MMSG-13992]
Registration.c(83): Notify: Parameter Substitution: parameter "randomFirstName" =  "gasnr"	[MsgId: MMSG-13992]
Registration.c(83): Notify: Parameter Substitution: parameter "randomLastName" =  "pwygz"	[MsgId: MMSG-13992]
Registration.c(83): Notify: Parameter Substitution: parameter "RandomPhone" =  "9062326620"	[MsgId: MMSG-13992]
Registration.c(83): Notify: Parameter Substitution: parameter "RandomZip" =  "673864"	[MsgId: MMSG-13992]
Registration.c(83): Submitting form to "https://petstore.octoperf.com/actions/Account.action", Target Frame=""  	[MsgId: MMSG-27978]
Registration.c(83): Redirecting "https://petstore.octoperf.com/actions/Account.action" (redirection depth is 0)  	[MsgId: MMSG-26694]
Registration.c(83): To location "https://petstore.octoperf.com/actions/Catalog.action"  	[MsgId: MMSG-26693]
Registration.c(83): Resource "https://petstore.octoperf.com/css/jpetstore.css" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Registration.c(83): Resource "https://petstore.octoperf.com/images/logo-topbar.svg" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Registration.c(83): Resource "https://petstore.octoperf.com/images/cart.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Registration.c(83): Resource "https://petstore.octoperf.com/images/separator.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Registration.c(83): Resource "https://petstore.octoperf.com/images/sm_fish.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Registration.c(83): Resource "https://petstore.octoperf.com/images/sm_dogs.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Registration.c(83): Resource "https://petstore.octoperf.com/images/sm_reptiles.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Registration.c(83): Resource "https://petstore.octoperf.com/images/sm_cats.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Registration.c(83): Resource "https://petstore.octoperf.com/images/sm_birds.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Registration.c(83): Resource "https://petstore.octoperf.com/images/fish_icon.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Registration.c(83): Resource "https://petstore.octoperf.com/images/dogs_icon.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Registration.c(83): Resource "https://petstore.octoperf.com/images/cats_icon.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Registration.c(83): Resource "https://petstore.octoperf.com/images/reptiles_icon.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Registration.c(83): Resource "https://petstore.octoperf.com/images/birds_icon.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Registration.c(83): Resource "https://petstore.octoperf.com/images/splash.gif" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Registration.c(83): Registered web_reg_find successful for "Text=Elevate you load-testing" (count=1)  	[MsgId: MMSG-26364]
Registration.c(83): web_submit_form("Account.action") was successful, 4736 body bytes, 443 header bytes  	[MsgId: MMSG-26386]
Registration.c(105): Notify: Transaction "PetStore_SubmitRegistration_T02" ended with a "Pass" status (Duration: 0.8937 Wasted Time: 0.0000).	[MsgId: MMSG-16871]
